iter	Passed	Remaining
401	15823	121944
402	15869	121953
403	15910	121927
404	15951	121902
405	15993	121880
406	16035	121864
407	16084	121893
408	16136	121953
409	16212	122184
410	16251	122145
411	16306	122218
412	16356	122257
413	16405	122287
414	16452	122301
415	16490	122254
416	16537	122266
417	16581	122258
418	16628	122272
419	16675	122288
420	16714	122243
421	16756	122217
422	16799	122206
423	16840	122171
424	16878	122121
425	16917	122074
426	16959	122055
427	17003	122045
428	17050	122053
429	17098	122076
430	17141	122059
431	17185	122045
432	17225	122013
433	17268	121990
434	17316	122014
435	17357	121978
436	17400	121960
437	17439	121917
438	17484	121913
439	17523	121869
440	17569	121871
441	17606	121810
442	17642	121742
443	17679	121687
444	17724	121682
445	17766	121659
446	17808	121632
447	17844	121565
448	17880	121498
449	17918	121446
450	17955	121390
451	17992	121333
452	18031	121284
453	18071	121247
454	18109	121191
455	18150	121162
456	18186	121098
457	18226	121058
458	18264	121010
459	18302	120957
460	18339	120895
461	18380	120862
462	18418	120812
463	18455	120754
464	18496	120721
465	18536	120684
466	18574	120631
467	18617	120615
468	18654	120555
469	18692	120505
470	18731	120463
471	18766	120393
472	18803	120335
473	18840	120278
474	18879	120231
475	18918	120188
476	18957	120145
477	18998	120114
478	19035	120054
479	19074	120010
480	19111	119954
481	19154	119937
482	19194	119894
483	19230	119829
484	19270	119794
485	19311	119761
486	19349	119713
487	19386	119654
488	19434	119666
489	19479	119660
490	19517	119607
491	19559	119582
492	19600	119549
493	19643	119532
494	19720	119719
495	19763	119698
496	19804	119666
497	19845	119631
498	19885	119593
499	19923	119538
500	19961	119489
501	19998	119430
502	20036	119380
503	20076	119342
504	20119	119323
505	20160	119289
506	20205	119278
507	20248	119259
508	20298	119281
509	20338	119238
510	20378	119197
511	20418	119160
512	20454	119100
513	20493	119051
514	20533	119016
515	20577	119000
516	20620	118978
517	20663	118956
518	20701	118904
519	20743	118874
520	20783	118835
521	20822	118793
522	20866	118773
523	20910	118760
524	20948	118706
525	20982	118632
526	21019	118578
527	21060	118546
528	21095	118475
529	21133	118427
530	21171	118378
531	21215	118362
532	21260	118350
533	21301	118315
534	21337	118255
535	21372	118188
536	21410	118138
537	21448	118088
538	21486	118034
539	21523	117979
540	21561	117929
541	21598	117874
542	21635	117819
543	21673	117770
544	21709	117710
545	21749	117668
546	21786	117617
547	21827	117580
548	21865	117532
549	21903	117482
550	21942	117438
551	21982	117399
552	22025	117378
553	22066	117342
554	22111	117332
555	22154	117309
556	22193	117263
557	22232	117217
558	22271	117172
559	22311	117135
560	22351	117095
561	22394	117072
562	22439	117061
563	22479	117023
564	22518	116978
565	22561	116954
566	22600	116908
567	22639	116865
568	22677	116815
569	22714	116761
570	22751	116705
571	22791	116667
572	22830	116622
573	22865	116556
574	22910	116545
575	22951	116509
576	22990	116466
577	23030	116427
578	23078	116427
579	23130	116452
580	23174	116432
581	23219	116416
582	23276	116461
583	23321	116446
584	23365	116429
585	23411	116417
586	23452	116384
587	23494	116355
588	23540	116343
589	23583	116320
590	23627	116299
591	23685	116346
592	23731	116334
593	23771	116298
594	23814	116269
595	23848	116203
596	23891	116176
597	23926	116112
598	23964	116062
599	24007	116034
600	24044	115980
601	24086	115950
602	24121	115889
603	24160	115842
604	24195	115780
605	24240	115760
606	24277	115706
607	24316	115663
608	24361	115648
609	24400	115603
610	24440	115564
611	24478	115513
612	24514	115453
613	24555	115417
