iter	RMSE
695	0.5040115819
696	0.503846656
697	0.5037583876
698	0.5036401721
699	0.5035803683
700	0.5034338269
701	0.5033267607
702	0.5032154622
703	0.503054094
704	0.5029668919
705	0.5028718744
706	0.502742115
707	0.5026565193
708	0.502559174
709	0.5024869575
710	0.5024207968
711	0.5023146227
712	0.5022642396
713	0.5022004851
714	0.5021119539
715	0.5020426438
716	0.5019425927
717	0.5018600395
718	0.501803606
719	0.5017151343
720	0.5015672267
721	0.5015172779
722	0.5013754225
723	0.5011621197
724	0.5011134263
725	0.5010292777
726	0.5008916407
727	0.5007701528
728	0.5006489618
729	0.5005890175
730	0.5004539673
731	0.5003717667
732	0.5002559918
733	0.5001527
734	0.5001204341
735	0.5000003338
736	0.4999043546
737	0.4998555758
738	0.4997986934
739	0.4996837585
740	0.4995533911
741	0.4994550494
742	0.4993724386
743	0.4992476341
744	0.4990862962
745	0.4990018296
746	0.4988895865
747	0.4987643464
748	0.4986379137
749	0.4985149008
750	0.4983830455
751	0.4982568947
752	0.4982060975
753	0.498011592
754	0.4979516221
755	0.4978685695
756	0.4977639869
757	0.4977004143
758	0.4976219056
759	0.4975619712
760	0.4974525799
761	0.4973908626
762	0.4972715046
763	0.4972019438
764	0.4970821958
765	0.4970465981
766	0.4969527368
767	0.4968167785
768	0.4967526518
769	0.4967058357
770	0.4966139454
771	0.4965061629
772	0.4964222154
773	0.4963263556
774	0.4962707505
775	0.4962071243
776	0.4961027586
777	0.4959914118
778	0.4959389947
779	0.4958471511
780	0.4957956236
781	0.4956962329
782	0.49557638
783	0.4954979309
784	0.4953731478
785	0.4952609103
786	0.4951489907
787	0.4950535097
788	0.4949479463
789	0.4948399469
790	0.4946797894
791	0.4945200577
792	0.4944522986
793	0.4943427892
794	0.4942749638
795	0.4941352726
796	0.494072478
797	0.4939758626
798	0.4938516725
799	0.4937886219
800	0.4936813277
801	0.4936143515
802	0.493520084
803	0.4934134197
804	0.4932841975
805	0.4931712432
806	0.4930971883
807	0.493041468
808	0.4929216852
809	0.492813253
810	0.4927003581
811	0.4925641831
812	0.4924986378
813	0.4924112105
814	0.4922976307
815	0.4922378291
816	0.4921806417
817	0.4921201085
818	0.4920384635
819	0.4919954197
820	0.4919043166
821	0.4918462162
822	0.4917138336
823	0.4916202331
824	0.4915585527
825	0.4914277544
826	0.4913660544
827	0.4912573263
828	0.4911338085
829	0.4910839857
830	0.4909964017
831	0.4909344869
832	0.4908867403
833	0.49071969
834	0.4906149706
835	0.4905061991
836	0.4903578992
837	0.4902765289
838	0.4902172927
839	0.4901307634
840	0.4899945138
841	0.4899266769
842	0.4898519966
843	0.4897262543
844	0.4896740312
845	0.4895882029
846	0.4894735358
847	0.4894031647
848	0.4893651358
849	0.489250042
850	0.4891716038
851	0.4891314671
852	0.4890967217
853	0.4889368651
854	0.488880154
855	0.4888198514
856	0.4887440271
857	0.4886720666
858	0.4886212082
859	0.488518889
860	0.4884153751
861	0.488325852
862	0.488244753
863	0.4881825474
864	0.4881125497
865	0.4880344992
866	0.4879388215
867	0.487906831
868	0.4877870713
869	0.4875920634
870	0.4874881193
871	0.4873490706
872	0.4872004491
873	0.487109338
874	0.4869722462
875	0.4869080482
876	0.4868569648
877	0.486823627
878	0.4868013495
879	0.4867295012
880	0.4866395983
881	0.4865814879
882	0.4865354739
883	0.4863533952
884	0.4862694934
885	0.4861327443
886	0.4860501026
887	0.4859591672
888	0.4859208087
889	0.4858628625
890	0.4857412535
891	0.4856639854
892	0.4855450416
893	0.4854304008
894	0.4853613348
895	0.4853273013
896	0.4852235449
897	0.4851102953
898	0.4850244924
899	0.4849573498
900	0.4849029871
901	0.4848387905
902	0.4847795522
903	0.4847245355
904	0.4846552433
905	0.4845685894
906	0.4845355091
907	0.4844620134
908	0.4844156463
909	0.4843436798
910	0.4842191388
911	0.4840952964
912	0.4840126035
913	0.4839667225
914	0.4838838096
915	0.4837363698
916	0.4836345787
917	0.4835571117
918	0.4834735349
919	0.4834215359
920	0.4833774777
921	0.4832722254
922	0.4831981734
923	0.4831326491
924	0.4831014308
925	0.4830732
926	0.4829955509
927	0.4828722668
928	0.482768315
929	0.4827136879
930	0.4825925718
931	0.4825038841
932	0.482391515
933	0.4823274835
934	0.4822372615
935	0.4821217971
936	0.4820211598
937	0.4819250646
938	0.4817701182
939	0.4816816223
940	0.4815897473
941	0.4815062789
942	0.4814245867
943	0.481389078
944	0.481299688
945	0.481209038
946	0.4811182688
947	0.4810562532
948	0.4809323449
949	0.4808452198
950	0.4807295517
951	0.4806740788
952	0.4805591699
953	0.4804593054
954	0.4803644364
955	0.4803086824
956	0.4802487813
957	0.4801909455
958	0.48011072
959	0.4800477373
960	0.4799881906
961	0.4799181182
962	0.4798190203
963	0.4797103929
964	0.4796609503
965	0.4796168686
966	0.4794806252
967	0.4794334551
968	0.4793387237
969	0.4791773945
970	0.479050866
971	0.478934816
972	0.4789040645
973	0.4788264309
974	0.4787723933
975	0.4787273426
976	0.4786376359
977	0.4785271154
978	0.4784707395
979	0.4784389141
980	0.4783504889
981	0.4782847059
982	0.4782410585
983	0.4782223195
984	0.4781079547
985	0.4780238386
986	0.4778460865
987	0.4777345024
988	0.4777060173
989	0.4776618809
990	0.4776282418
991	0.4775261293
992	0.4774155491
993	0.4773207203
994	0.4772081364
995	0.4770943985
996	0.4770302608
997	0.47693342
998	0.4768829818
999	0.4767731951
1000	0.4767005705
1001	0.4766410445
1002	0.4765263644
1003	0.4764356387
1004	0.476266682
1005	0.4762245513
1006	0.4761573021
1007	0.4761016809
1008	0.4760437748
1009	0.4759888816
1010	0.4758663811
1011	0.4758140661
1012	0.475725697
1013	0.4756372731
1014	0.4755468588
1015	0.4754865871
1016	0.4754078082
1017	0.475353401
1018	0.475293449
1019	0.4752290288
1020	0.4751425389
1021	0.4750668508
1022	0.4749846738
1023	0.474943783
1024	0.4748914258
1025	0.4748111128
1026	0.4747814083
1027	0.4747158426
1028	0.4746465152
1029	0.4745819367
1030	0.4745109419
1031	0.4744363534
1032	0.4744088623
1033	0.4743388864
1034	0.4742466805
1035	0.4741900191
1036	0.474086099
1037	0.4739841874
1038	0.4739394086
1039	0.4738985501
1040	0.4738255888
1041	0.4737239379
1042	0.4736481702
1043	0.473578955
1044	0.4734810953
1045	0.4733926145
1046	0.4733012125
1047	0.4732310803
1048	0.4731492977
1049	0.4730495144
1050	0.4729792411
1051	0.4728793889
1052	0.472799206
1053	0.472752557
1054	0.4726823294
1055	0.4725983005
1056	0.472547999
1057	0.4725095003
1058	0.472430042
1059	0.4723329666
1060	0.4722783617
1061	0.4721999371
1062	0.4720757593
1063	0.4719913409
1064	0.4719460273
1065	0.4718418406
1066	0.4717154604
1067	0.471661523
1068	0.4716179615
1069	0.4714824419
1070	0.4713675716
1071	0.4713381103
1072	0.4712622235
1073	0.4712224832
1074	0.4711401413
1075	0.4710784938
1076	0.4709797051
1077	0.4709210128
1078	0.4708161171
1079	0.4707435824
1080	0.4706684701
1081	0.4705633517
1082	0.4704636132
1083	0.4704026034
1084	0.470316239
1085	0.4702667028
1086	0.4701608843
1087	0.4701237838
1088	0.4700464595
1089	0.469993067
1090	0.46991729
1091	0.4698482402
1092	0.4697729911
1093	0.4697032125
1094	0.4695789971
1095	0.4694691592
1096	0.469349834
1097	0.4693083273
1098	0.46924259
1099	0.4691613001
1100	0.4691170308
1101	0.4690157959
1102	0.4689261166
1103	0.4688504214
1104	0.4687375741
1105	0.4686689471
1106	0.4686182321
1107	0.4685830263
1108	0.4685054507
1109	0.4684119835
1110	0.46834734
1111	0.4682610611
1112	0.4682210524
1113	0.4681691449
1114	0.4680435732
1115	0.4679911815
1116	0.467932164
1117	0.4678832052
1118	0.4678123809
1119	0.467777423
1120	0.4676694393
1121	0.467596165
1122	0.4675011729
1123	0.4673688734
1124	0.4672759831
1125	0.4672187279
1126	0.4670813625
1127	0.4670481361
1128	0.4669852597
1129	0.4669241328
1130	0.466868762
1131	0.4667700397
1132	0.4666969656
1133	0.4666020549
1134	0.4664860132
1135	0.4664081415
1136	0.4663377094
1137	0.4662614378
1138	0.4661620919
1139	0.4660772833
1140	0.4659915797
1141	0.4659524433
1142	0.4659093016
1143	0.4658669045
1144	0.465794646
1145	0.4657263854
1146	0.4657048001
1147	0.4656386931
1148	0.4655293161
1149	0.4654424302
1150	0.4653593198
1151	0.4653124867
1152	0.4652502025
1153	0.4651488038
1154	0.4650731101
1155	0.4649728379
1156	0.464889
1157	0.4648075518
1158	0.4647336795
1159	0.4647134513
1160	0.464661072
1161	0.4644994489
1162	0.4644245603
1163	0.4643268253
1164	0.4642711048
1165	0.4641498433
1166	0.4640779521
1167	0.4639807093
1168	0.4639212547
1169	0.4638064145
1170	0.4637680097
1171	0.4636844879
1172	0.4636427288
1173	0.4635688917
1174	0.4634858758
1175	0.4634439557
1176	0.4633939343
1177	0.4633329778
1178	0.4632560777
1179	0.4631781634
1180	0.4630728747
1181	0.4629659384
1182	0.4628713086
1183	0.462808414
1184	0.4627221311
1185	0.4626720192
1186	0.4626393305
1187	0.4626034252
1188	0.4625202468
1189	0.4624468919
1190	0.4624086362
1191	0.4623353924
1192	0.462275111
1193	0.462215113
1194	0.4621516785
1195	0.4620769615
1196	0.4619986231
1197	0.4619292947
1198	0.4618417834
1199	0.4617564135
1200	0.4616779486
1201	0.4615940702
1202	0.4615272161
1203	0.4614324328
1204	0.4612980245
1205	0.4612146353
1206	0.4611324887
1207	0.4610537446
1208	0.4609974478
1209	0.4609097336
1210	0.4608502685
1211	0.4607864398
1212	0.4607205763
1213	0.4606582351
1214	0.4605529817
1215	0.4604745582
1216	0.4603887506
1217	0.4602955489
1218	0.4602115058
1219	0.4601602182
1220	0.4601024052
1221	0.4600077216
1222	0.4599658535
1223	0.459884017
1224	0.459821317
1225	0.4597496341
1226	0.459714178
1227	0.4596571331
1228	0.4595681638
1229	0.459511102
1230	0.4594529003
1231	0.4593628583
1232	0.4593311558
1233	0.4592593261
1234	0.4592043456
1235	0.4591048776
1236	0.4590434544
1237	0.4589860213
1238	0.4588867951
1239	0.4588383832
1240	0.4587822722
1241	0.4587144062
1242	0.4586224122
1243	0.4585511936
1244	0.4584849533
1245	0.4583965407
1246	0.458315294
1247	0.458174362
1248	0.4581203871
1249	0.4580573763
1250	0.4580106507
1251	0.4579335976
1252	0.4579005616
1253	0.4578350541
1254	0.4577859371
1255	0.4577255138
1256	0.457655732
1257	0.4576098433
1258	0.4575670889
1259	0.4574959581
1260	0.4574220078
1261	0.4573861962
1262	0.4573350346
1263	0.4573093439
1264	0.4572405144
1265	0.457161874
1266	0.4571129661
1267	0.4570535794
1268	0.4570123485
1269	0.4569486917
1270	0.4568869433
1271	0.4568107439
1272	0.4567317291
1273	0.4566795651
1274	0.4566122235
1275	0.4565414062
1276	0.4564983854
1277	0.4564502653
1278	0.4563656914
1279	0.4562721644
1280	0.4562309128
