target,model,r2
Y1,XGBoost,0.698050874911633
Y1,CatBoost,0.6971708514171271
Y1,LightGBM,0.6914091444357615
Y2,XGBoost,0.5523406680009213
Y2,CatBoost,0.5447229084076273
Y2,LightGBM,0.5072432579917344
