target,model,fold_mean_r2,fold_std_r2,folds
Y1,Blend_XGB_CAT,0.7416126957498248,0.03500452243841174,"[0.7743771951807699, 0.7748592305935542, 0.6921194022390154, 0.7250949549859601]"
Y1,CatBoost,0.7401373556331021,0.034850137585574634,"[0.772786896460754, 0.7729519568390717, 0.6904854612680481, 0.7243251079645348]"
Y1,XGBoost,0.738220333194526,0.03478427708616656,"[0.7686536962448649, 0.7729323527660352, 0.6885200413238508, 0.7227752424433529]"
Y1,LightGBM,0.7290273348339933,0.03474702516640293,"[0.7598986115889871, 0.7626607371299721, 0.6785437756093551, 0.7150062150076588]"
Y2,Blend_XGB_CAT,0.6578465207500874,0.03670946344251611,"[0.697670572386345, 0.689010465312961, 0.6348733950905845, 0.6098316502104595]"
Y2,CatBoost,0.655842469311634,0.04262867827117403,"[0.7066143989507103, 0.6865822397912467, 0.6296471118273186, 0.6005261266772606]"
Y2,XGBoost,0.6537202799743846,0.029809302170769245,"[0.6788324392795865, 0.6866739105450572, 0.6334051167919015, 0.6159696532809933]"
Y2,LightGBM,0.6385845036646757,0.04264249828587491,"[0.6899331883553514, 0.6714372372920127, 0.5989939429683815, 0.5939736460429573]"
